city_name,temperature,decade
KENT,34.6,1910s
KENT,24.7,1920s
KENT,29.7,1920s
KENT,35.2,1920s
KENT,21.5,1920s
KENT,28.5,1920s
KENT,30.1,1920s
KENT,30.1,1920s
KENT,25.5,1920s
KENT,23.1,1920s
KENT,26.5,1920s
KENT,23.9,1930s
KENT,23.3,1930s
KENT,34.9,1930s
KENT,33,1930s
KENT,39.2,1930s
KENT,25,1930s
KENT,23.5,1930s
KENT,33,1930s
KENT,34.7,1930s
KENT,27.2,1930s
KENT,31.1,1940s
KENT,22.4,1940s
KENT,25.7,1940s
KENT,22.2,1940s
KENT,24.3,1940s
KENT,23.6,1940s
KENT,25.2,1940s
KENT,26.3,1940s
KENT,30.4,1940s
KENT,23.6,1940s
KENT,23.6,1950s
KENT,33.9,1950s
KENT,28.2,1950s
KENT,35,1950s
KENT,25.4,1950s
KENT,32.8,1950s
KENT,35.2,1950s
KENT,34,1950s
KENT,26.8,1950s
KENT,43.7,1950s
KENT,23.7,1960s
KENT,33.9,1960s
KENT,26.5,1960s
KENT,19.9,1960s
KENT,23.7,1960s
KENT,24.6,1960s
KENT,21.6,1960s
KENT,23.8,1960s
KENT,34.8,1960s
KENT,38.2,1960s
KENT,23.7,1970s
KENT,23.6,1970s
KENT,23.7,1970s
KENT,32.8,1970s
KENT,27,1970s
KENT,23.5,1970s
KENT,31.8,1970s
KENT,22.2,1970s
KENT,24.4,1970s
KENT,25.7,1970s
KENT,35.7,1980s
KENT,35.4,1980s
KENT,34.4,1980s
KENT,22.6,1980s
KENT,21.7,1980s
KENT,23.7,1980s
KENT,24.7,1980s
KENT,25.2,1980s
KENT,27.5,1980s
KENT,27.4,1980s
KENT,30.6,1990s
KENT,32.2,1990s
KENT,24.7,1990s
KENT,30.2,1990s
KENT,22.7,1990s
KENT,28.9,1990s
KENT,27.8,1990s
KENT,27.9,1990s
KENT,39.3,1990s
KENT,34.6,1990s
KENT,40,2000s
KENT,31.8,2000s
KENT,30.1,2000s
KENT,37.8,2000s
KENT,21.4,2000s
KENT,23.8,2000s
KENT,34.9,2000s
KENT,31.7,2000s
KENT,27.1,2000s
KENT,27.2,2000s
KENT,22.3,2010s
KENT,23.9,2010s
KENT,39.2,2010s
KENT,43.1,2010s
KENT,42.7,2010s
KENT,25.3,2010s
KENT,36.6,2010s
KENT,41.1,2010s
KENT,39.7,2010s
KENT,40.4,2010s
BRISBANE,28.8,1950s
BRISBANE,25.6,1950s
BRISBANE,29.8,1950s
BRISBANE,29.4,1950s
BRISBANE,26.7,1950s
BRISBANE,29.5,1950s
BRISBANE,30,1950s
BRISBANE,24.5,1950s
BRISBANE,29.4,1950s
BRISBANE,28.2,1950s
BRISBANE,29,1960s
BRISBANE,27.7,1960s
BRISBANE,28.9,1960s
BRISBANE,27.7,1960s
BRISBANE,27.8,1960s
BRISBANE,27.5,1960s
BRISBANE,29.3,1960s
BRISBANE,28.5,1960s
BRISBANE,28.2,1960s
BRISBANE,31.5,1960s
BRISBANE,30.1,1970s
BRISBANE,30.5,1970s
BRISBANE,26.6,1970s
BRISBANE,29.4,1970s
BRISBANE,28.7,1970s
BRISBANE,26.7,1970s
BRISBANE,28.4,1970s
BRISBANE,31.9,1970s
BRISBANE,30.1,1970s
BRISBANE,31.2,1970s
BRISBANE,27.8,1980s
BRISBANE,28.2,1980s
BRISBANE,27.1,1980s
BRISBANE,29.9,1980s
BRISBANE,29.8,1980s
BRISBANE,29.8,1980s
BRISBANE,30.6,1980s
BRISBANE,32.1,1980s
BRISBANE,31,1980s
BRISBANE,28.7,1980s
BRISBANE,28.2,1990s
BRISBANE,27.7,1990s
BRISBANE,28.8,1990s
BRISBANE,28.7,1990s
BRISBANE,29.2,1990s
BRISBANE,29.8,1990s
BRISBANE,28.8,1990s
BRISBANE,28.4,1990s
BRISBANE,28.9,1990s
BRISBANE,28.1,1990s
BRISBANE,28.1,2000s
BRISBANE,29.7,2000s
BRISBANE,27.4,2000s
BRISBANE,27.8,2000s
BRISBANE,31.2,2000s
BRISBANE,31.2,2000s
BRISBANE,29.5,2000s
BRISBANE,29.1,2000s
BRISBANE,27.2,2000s
BRISBANE,30.5,2000s
BRISBANE,30.2,2010s
BRISBANE,31.3,2010s
BRISBANE,26.5,2010s
BRISBANE,29.3,2010s
BRISBANE,29,2010s
BRISBANE,33.6,2010s
BRISBANE,27.3,2010s
BRISBANE,30.4,2010s
BRISBANE,27.8,2010s
BRISBANE,30.8,2010s
SYDNEY,35.3,1910s
SYDNEY,25.3,1910s
SYDNEY,26.6,1910s
SYDNEY,28.8,1910s
SYDNEY,27.4,1910s
SYDNEY,28.2,1910s
SYDNEY,34.8,1910s
SYDNEY,28,1910s
SYDNEY,24.5,1910s
SYDNEY,22.6,1910s
SYDNEY,23.1,1920s
SYDNEY,24.3,1920s
SYDNEY,24.1,1920s
SYDNEY,24.3,1920s
SYDNEY,27.4,1920s
SYDNEY,19.5,1920s
SYDNEY,23.1,1920s
SYDNEY,27.5,1920s
SYDNEY,26.2,1920s
SYDNEY,27.3,1920s
SYDNEY,23.1,1930s
SYDNEY,27.5,1930s
SYDNEY,24.1,1930s
SYDNEY,20,1930s
SYDNEY,27.1,1930s
SYDNEY,20,1930s
SYDNEY,21,1930s
SYDNEY,24.1,1930s
SYDNEY,24.8,1930s
SYDNEY,19.8,1930s
SYDNEY,28.7,1940s
SYDNEY,21.9,1940s
SYDNEY,21.8,1940s
SYDNEY,25.6,1940s
SYDNEY,32.4,1940s
SYDNEY,20.9,1940s
SYDNEY,31.5,1940s
SYDNEY,20.7,1940s
SYDNEY,19.4,1940s
SYDNEY,20.6,1940s
SYDNEY,26.2,1950s
SYDNEY,22.7,1950s
SYDNEY,33.8,1950s
SYDNEY,23.1,1950s
SYDNEY,27.4,1950s
SYDNEY,28.8,1950s
SYDNEY,27.6,1950s
SYDNEY,23.2,1950s
SYDNEY,20.5,1950s
SYDNEY,27.8,1950s
SYDNEY,31.6,1960s
SYDNEY,23.7,1960s
SYDNEY,27.8,1960s
SYDNEY,21.4,1960s
SYDNEY,30.7,1960s
SYDNEY,25.1,1960s
SYDNEY,28.2,1960s
SYDNEY,23.9,1960s
SYDNEY,31.5,1960s
SYDNEY,28.7,1960s
SYDNEY,36.2,1970s
SYDNEY,26.2,1970s
SYDNEY,26.2,1970s
SYDNEY,27,1970s
SYDNEY,28.2,1970s
SYDNEY,24,1970s
SYDNEY,25.8,1970s
SYDNEY,36.1,1970s
SYDNEY,25.8,1970s
SYDNEY,31.2,1970s
SYDNEY,25,1980s
SYDNEY,26,1980s
SYDNEY,26.1,1980s
SYDNEY,25.1,1980s
SYDNEY,27.2,1980s
SYDNEY,26.1,1980s
SYDNEY,19.1,1980s
SYDNEY,28.4,1980s
SYDNEY,22.1,1980s
SYDNEY,27.8,1980s
SYDNEY,23.8,1990s
SYDNEY,24.2,1990s
SYDNEY,22.2,1990s
SYDNEY,37.9,1990s
SYDNEY,30.2,1990s
SYDNEY,27.4,1990s
SYDNEY,23.6,1990s
SYDNEY,22.7,1990s
SYDNEY,26.1,1990s
SYDNEY,27.5,1990s
SYDNEY,21.9,2000s
SYDNEY,24.4,2000s
SYDNEY,24.4,2000s
SYDNEY,27.3,2000s
SYDNEY,28.8,2000s
SYDNEY,21.7,2000s
SYDNEY,29.1,2000s
SYDNEY,27.4,2000s
SYDNEY,23.1,2000s
SYDNEY,22.8,2000s
SYDNEY,27.9,2010s
SYDNEY,29.8,2010s
SYDNEY,26.1,2010s
SYDNEY,29,2010s
SYDNEY,27.7,2010s
SYDNEY,35.7,2010s
SYDNEY,26.1,2010s
SYDNEY,36.6,2010s
SYDNEY,25.8,2010s
SYDNEY,29,2010s
CANBERRA,32.2,1910s
CANBERRA,34.3,1910s
CANBERRA,35.7,1910s
CANBERRA,31.9,1910s
CANBERRA,23.7,1910s
CANBERRA,24,1910s
CANBERRA,18.4,1920s
CANBERRA,27.3,1920s
CANBERRA,36.6,1920s
CANBERRA,19.5,1920s
CANBERRA,25,1920s
CANBERRA,26.2,1920s
CANBERRA,31.9,1920s
CANBERRA,32,1920s
CANBERRA,27.3,1930s
CANBERRA,33.9,1930s
CANBERRA,32,1930s
CANBERRA,22.1,1930s
CANBERRA,32.6,1930s
CANBERRA,19.8,1930s
CANBERRA,19.7,1930s
CANBERRA,32.1,1930s
CANBERRA,21.1,1930s
CANBERRA,14.2,1930s
CANBERRA,28.7,1940s
CANBERRA,23.8,1940s
CANBERRA,19,1940s
CANBERRA,27.2,1940s
CANBERRA,26.5,1940s
CANBERRA,32.7,1940s
CANBERRA,26.7,1940s
CANBERRA,20.5,1940s
CANBERRA,18.3,1940s
CANBERRA,30.6,1950s
CANBERRA,21.2,1950s
CANBERRA,32.2,1950s
CANBERRA,24.5,1950s
CANBERRA,32.1,1950s
CANBERRA,33,1950s
CANBERRA,32.5,1950s
CANBERRA,25.9,1950s
CANBERRA,22.4,1950s
CANBERRA,34,1950s
CANBERRA,33.6,1960s
CANBERRA,22,1960s
CANBERRA,27.1,1960s
CANBERRA,21.8,1960s
CANBERRA,27.7,1960s
CANBERRA,34.8,1960s
CANBERRA,24.2,1960s
CANBERRA,22.2,1960s
CANBERRA,34.3,1960s
CANBERRA,32.2,1960s
CANBERRA,30.7,1970s
CANBERRA,29.8,1970s
CANBERRA,23.9,1970s
CANBERRA,28.4,1970s
CANBERRA,26.6,1970s
CANBERRA,28.9,1970s
CANBERRA,26.4,1970s
CANBERRA,26.4,1970s
CANBERRA,27.5,1970s
CANBERRA,28.3,1970s
CANBERRA,28.6,1980s
CANBERRA,28.9,1980s
CANBERRA,29.6,1980s
CANBERRA,28.2,1980s
CANBERRA,19.2,1980s
CANBERRA,28.7,1980s
CANBERRA,18.4,1980s
CANBERRA,34.6,1980s
CANBERRA,23.6,1980s
CANBERRA,30.2,1980s
CANBERRA,24.9,1990s
